#Distancia entre ciudades adyacentes (m)
0,76000,0,20000,0,0,0,0,0,0
76000,0,0,0,240000,0,0,0,360000,0
0,0,0,10000,0,0,0,120000,0,360000
20000,0,10000,0,0,0,0,0,0,0
0,240000,0,0,0,0,60000,0,0,0
0,0,0,0,0,0,30000,0,120000,0
0,0,0,0,60000,30000,0,0,0,0
0,0,120000,0,0,0,0,0,0,180000
0,360000,0,0,0,120000,0,0,0,0
0,0,360000,0,0,0,0,180000,0,0
#Velocidades maximas entre ciudades adyacentes(m/s2)
0,27.77,0,13.88,0,0,0,0,0,0
27.77,0,0,0,38.88,0,0,0,13.88,0
0,0,0,13.88,0,0,0,38.88,0,33.33
13.88,0,13.88,0,0,0,0,0,0,0
0,38.88,0,0,0,0,13.88,0,0,0
0,0,0,0,0,0,16.66,0,16.66,0
0,0,0,0,13.88,16.66,0,0,0,0
0,0,38.88,0,0,0,0,0,0,33.33
0,13.88,0,0,0,16.66,0,0,0,0
0,0,33.33,0,0,0,0,33.33,0,0
#Peso maximo permitido entre ciudades adyacentes (kg)
0,15000,0,10000,0,0,0,0,0,0
15000,0,0,0,35000,0,0,0,20000,0
0,0,0,40000,0,0,0,30000,0,25000
10000,0,40000,0,0,0,0,0,0,0
0,35000,0,0,0,0,30000,0,0,0
0,0,0,0,0,0,35000,0,25000,0
0,0,0,0,30000,35000,0,0,0,0
0,0,30000,0,0,0,0,0,0,40000
0,20000,0,0,0,25000,0,0,0,0
0,0,25000,0,0,0,0,40000,0,0
